CountryName,CountryCode,Year,CO2_emissions,InternetUsers,GDP_per_capita,LiteracyRate,Physicians,HealthExpenditure,Unemployment,InfantMortality,LifeExpectancy,Population,Region,IncomeGroup,Region_Encoded,IncomeGroup_Encoded
"Bahamas, The",BHS,2006,4.95732364589227,26.0,30274.9903224846,,,5.32113701,7.53999996185303,11.9,74.012,335830.0,Latin America & Caribbean,High income,2,0
Bahrain,BHR,2006,14.808246413632371,28.24395243,19307.9954920205,,1.033,3.06248922,0.904999971389771,8.8,75.478,958414.0,Middle East & North Africa,High income,3,0
Bangladesh,BGD,2006,0.299529172870806,1.0,494.050146576549,,0.308,2.32201091,3.59100008010864,48.0,68.403,145368004.0,South Asia,Lower middle income,5,2
Barbados,BRB,2006,4.9864128359978,55.3,15185.1192012769,,,6.58012227,8.72999954223633,14.2,74.324,275039.0,Latin America & Caribbean,High income,2,0
Belarus,BLR,2006,6.46244665756856,16.2,3847.43412382153,,4.78,5.76280346,7.60500001907349,6.0,69.4048780487805,9604924.0,Europe & Central Asia,Upper middle income,1,4
Belgium,BEL,2006,10.1510389973111,59.72,30637.443815953535,,2.093,8.86284512,8.24600028991699,4.0,79.380487804878,10547958.0,Europe & Central Asia,High income,1,0
Belize,BLZ,2006,1.52609313251727,24.0,4187.29049654855,,,4.16392366,9.39000034332275,17.6,69.218,290747.0,Latin America & Caribbean,Upper middle income,2,4
Benin,BEN,2006,0.471267008855899,1.537854346,625.830091976463,28.7021102905273,,4.05954486,0.782999992370605,76.3,57.817,8216896.0,Sub-Saharan Africa,Low income,6,1
Bermuda,BMU,2006,10.1161756272957,68.479743898,30637.443815953535,,,5.46509211,6.35300016403198,22.1,78.8878048780488,64523.0,North America,High income,4,0
Bhutan,BTN,2006,0.583684404696026,4.518317258,1335.45690588598,,,4.29156698,3.13000011444092,42.5,65.578,672228.0,South Asia,Lower middle income,5,2
Bolivia,BOL,2006,1.62190674169431,6.200671255,1233.59186917076,,,4.58558345,2.98799991607666,43.8,64.113,9283334.0,Latin America & Caribbean,Lower middle income,2,2
Bosnia and Herzegovina,BIH,2006,4.64746096540571,25.12238569,3403.81529715873,,,9.17218676,16.225250840187073,7.5,75.353,3779468.0,Europe & Central Asia,Upper middle income,1,4
Botswana,BWA,2006,2.19525134298321,4.289932975,5374.55486690776,,0.312,5.00414503,16.225250840187073,41.1,53.695,1884238.0,Sub-Saharan Africa,Upper middle income,6,4
Brazil,BRA,2006,1.83939385948897,28.17838018,5860.14578561448,89.6152267456055,1.678,8.34044194,8.63899993896484,20.8,72.405,189012412.0,Latin America & Caribbean,Upper middle income,2,4
British Virgin Islands,VGB,2006,5.98255595063794,13.66,3738.68928376282,,,5.46509211,6.35300016403198,22.1,,23905.0,Latin America & Caribbean,High income,2,0
Brunei Darussalam,BRN,2006,13.1328615800135,42.18634916,30637.443815953535,,1.084,1.90329323,5.74300003051758,9.4,76.455,370250.0,East Asia & Pacific,High income,0,0
Bulgaria,BGR,2006,6.44533327228891,27.09,4490.20177692701,,3.66,6.57317955,8.95100021362305,10.4,72.6121951219512,7601022.0,Europe & Central Asia,Upper middle income,1,4
Burkina Faso,BFA,2006,0.098375846950256,0.632707564,420.582523292431,22.4725799560547,0.028,5.07866682,3.69899988174438,78.2,54.063,13829177.0,Sub-Saharan Africa,Low income,6,1
Burundi,BDI,2006,0.0243659627758413,0.65759259,165.904748464318,,,9.9423231,1.79999995231628,74.6,53.09,7675338.0,Sub-Saharan Africa,Low income,6,1
Cabo Verde,CPV,2006,0.983876704208654,6.808911008,2304.2899020136,,,4.48974972,10.9650001525879,22.1,71.842,480795.0,Sub-Saharan Africa,Lower middle income,6,2
